tweet_id,author_id,created_at,text,conversation_id,candidate_group,golden_intent,label_notes
1202028,402419,Wed Oct 25 06:50:07 +0000 2017,@AppleSupport this bug is really annoying. Look at the position where Assistive Touch is positioned. https://t.co/HvUApMGqZX,apple_026610,screen_display,,
1905731,567876,Wed Oct 18 12:45:20 +0000 2017,"Con la nueva actualización de #iOS11 las baterías de los #Iphone duran bastante menos, solución? @115858 @AppleSupport @2310 @14391",apple_035513,ios_software_update,,
795234,309595,Thu Oct 12 11:07:04 +0000 2017,Lost another elliptical session cos of the @115858 bloody workout app failing to continue to run when the audio kicks in on watch. Just 👎🏽💩💩💩,apple_008155,audio_speaker,,
944328,337485,Sat Oct 21 08:54:16 +0000 2017,@AppleSupport @115850 7/n the person asked me to deposit my device for 4-5days to service the device on heating issue. This is 2017 AD and not BC.,apple_004476,device_hardware,,
721328,292662,Fri Oct 06 11:02:13 +0000 2017,@AppleSupport @115858 Facing some Wifi Issues on Iphone 6S  Ios 11. Wifi runs even after switch off in control center...,apple_053918,ios_software_update,,
2280937,663040,Sat Nov 11 22:46:57 +0000 2017,@AppleSupport Periodic (30s -2m) skips in audio when connected through BT. Lose about 1s of audio each time. Happening with both Spotify and Audible so not app specific.,apple_006404,audio_speaker,,
2674169,328597,Tue Oct 31 04:25:49 +0000 2017,@AppleSupport So can I go back to a previous IOS version... like to one that doesn’t kill my battery half way through my day...,apple_063458,battery_charging,,
621809,267567,Wed Oct 04 11:02:40 +0000 2017,Porque caralhos o IOS 11 fica ativando o wifi sozinho quando eu desligo? Arruma isso @AppleSupport https://t.co/YRjKjTKf59,apple_007232,ios_software_update,,
1910187,569056,Tue Oct 31 23:42:16 +0000 2017,"@AppleSupport apps chrash. phone freezes. today iphone can't call until i reset it.
want more?
i cant downgrade to ios10.
what can u do?",apple_046246,calls_cellular,,
2565755,727905,Thu Nov 16 18:05:55 +0000 2017,"@AppleSupport hi. I'm having problems because I changed of country, and my App Store doesn't let me download new local apps. Each time I change my account settings, the system asks me a new change to the other country.",apple_075919,app_store_downloads,,
1141077,388597,Tue Oct 24 15:52:48 +0000 2017,@AppleSupport I have 11.0.3. I’m currently on WiFi but cellular data is turned on for Music.,apple_044386,wifi_connectivity,,
2004187,592661,Fri Nov 03 21:20:30 +0000 2017,I️ updated my iOS and I️ have a shit ton of emojis now but my @231586 charger doesn’t work anymore so I️ regret it 😒 @115858,apple_004701,other_unclear,,
2892006,801652,Tue Nov 28 14:15:52 +0000 2017,@115858 i took #iphone7plus recenty and tday it jst slipped from my hand and falled dwn and got my screen cracked. iphone is one of my best phone till nw bt ssly u need to do something for the screen #iphone #iphone7plus,apple_058350,screen_display,,
2286110,664314,Sat Nov 11 12:27:38 +0000 2017,@115858 why did the update make my phone slower &amp; other issues? I don’t like it.,apple_031263,other_unclear,,
1978681,399288,Tue Oct 31 19:21:25 +0000 2017,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",apple_027819,app_problems,,
2787830,778262,Tue Nov 21 19:12:37 +0000 2017,"@AppleSupport Hi can you help, this error message is all over my Apple Music, it’s only happened since I updated to IOS11.1.2 last night ☹️can’t download or see new music! https://t.co/4Up6wLUKx8",apple_023273,app_store_downloads,,
36626,123977,Wed Nov 01 14:05:18 +0000 2017,"@AppleSupport Hi there, my iPhone 6S plus can’t do backup for it, not by iCloud and iTunes , any way to fix it ,thanks https://t.co/XYyWJe7vn7",apple_019623,apple_id_icloud,,
2744256,768607,Mon Nov 20 19:05:14 +0000 2017,@AppleSupport I waited 50 mins for fixing a broken EarPod at the Apple Store at Eaton Centre in Toronto and still no news. They told me to wait while people after me req the same service got served first. Last time it was just 10 mins during busy hours. WHY.,apple_066434,device_hardware,,
2508168,249053,Wed Nov 15 21:10:09 +0000 2017,@115858 @AppleSupport I️ want you to fix my I️ phone so I️ can write things with my Installed keyboard that make sense.,apple_028711,app_store_downloads,,
1712027,518579,Tue Nov 07 01:40:58 +0000 2017,Also idk why there was a question mark where iiiiiii was. @115858 fix that shit b.,apple_054822,other_unclear,,
996615,355989,Fri Nov 10 08:50:01 +0000 2017,"I already had reputation on my phone, but I updated my ios and it disappeared and now this happens when I try to redownload the new songs @AppleSupport https://t.co/VBbXK9LJjA",apple_077819,app_store_downloads,,
1896901,565368,Tue Oct 24 15:49:05 +0000 2017,Thanks for the update @115858 now my iPhone has completely forgot what to do when I touch the screen. Dy6;Perfect timing d,apple_029183,screen_display,,
1281436,412538,Thu Oct 26 18:41:56 +0000 2017,"@AppleSupport Wow, your inability to answer a simple question and the run around you are giving a customer is unacceptable. Why don’t you ask them?",apple_002064,device_hardware,,
809369,312857,Sun Oct 08 08:50:44 +0000 2017,"@AppleSupport @115858 my iphone 6s just seems to behave weird post latest ios update , i got latest 11.0.2 but still same -have to restart",apple_045183,ios_software_update,,
2478965,708459,Thu Nov 16 12:27:48 +0000 2017,@AppleSupport The volume control doesn't work on an iPhone6 but that's not really the problem. The issue is my music starts to skip every time I connect my earphones and only stops when I fiddle with the volume control (and cuts out). It doesn't skip sound on an iphone 6,apple_049807,audio_speaker,,
298491,187122,Fri Oct 06 16:30:33 +0000 2017,@AppleSupport I get a mini black bar at bottom of my screen and a large black box on right side when on a call?! Fix it please!,apple_001068,screen_display,,
250084,175419,Thu Oct 05 08:01:57 +0000 2017,@AppleSupport when I go to purchase Apple Music I put in my password and says I cannot connect to iTunes Store,apple_001420,app_store_downloads,,
