tweet_id,created_at,conversation_id,text,candidate_group,golden_intent,human_intent,human_notes,label_status,bulk_intent,bulk_confidence,bulk_reason,bulk_label_status
1978681,Tue Oct 31 19:21:25 +0000 2017,apple_027819,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",app_problems,,other_unclear,Needs manual review; no sufficiently strong intent signal.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional
2237178,Fri Nov 10 15:51:17 +0000 2017,apple_019826,"My phone isn't downloading apps its always says ""waiting"" ben that way for days anyone know what I can do? @AppleSupport",app_store_downloads,,app_problems,Bulk provisional label based on message content: app_problems.,provisional_bulk,wifi_connectivity,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional
1773204,Wed Nov 08 03:46:45 +0000 2017,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,app_problems,,other_unclear,Needs manual review; no sufficiently strong intent signal.,provisional_bulk,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional
2261521,Sat Nov 11 00:58:22 +0000 2017,apple_008053,"@116333 @AppleSupport @144811 Every time I️ connect my phone via USB this song starts, this is getting really old! Why can’t iOS remember what I was listening to last and start there? Any car, any iPhone, any iOS, Please fix this, it’s killing me! https://t.co/yxtLKBdYpn",wifi_connectivity,,apple_music_itunes,Bulk provisional label based on message content: apple_music_itunes.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional
1338119,Fri Oct 27 19:07:26 +0000 2017,apple_022603,@AppleSupport I think I found the answer: I can't pre-order iPhone X SIM-free at this time. I'm not sure when Apple will allow it. Thanks tho https://t.co/SICYUgzEPL,device_hardware,,calls_cellular,Bulk provisional label based on message content: calls_cellular.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional
2593234,Fri Nov 17 01:49:30 +0000 2017,apple_064137,@AppleSupport I don’t understand why my phones keeps freezing EVERY 20 minutes and I’m not exaggerating 😕😕,other_unclear,,app_problems,Bulk provisional label based on message content: app_problems.,provisional_bulk,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional
1924839,Mon Nov 13 16:36:01 +0000 2017,apple_007973,Is anybody looking into the mail and messages apps syncing issues with @133941 accounts or are we doomed? @115858,apple_id_icloud,,app_problems,Bulk provisional label based on message content: app_problems.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional
1027597,Mon Oct 23 00:32:23 +0000 2017,apple_050218,"So @115858 when are yall gunna fix this update, because if my phone freezes for 2 mins while im in traffic ONE MORE TIME !!!!!!",ios_software_update,,device_hardware,Bulk provisional label based on message content: device_hardware.,provisional_bulk,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional
1216323,Wed Oct 25 17:29:53 +0000 2017,apple_013394,@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,app_store_downloads,,other_unclear,Needs manual review; no sufficiently strong intent signal.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional
1804005,Fri Oct 13 16:10:19 +0000 2017,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,app_store_downloads,,other_unclear,Needs manual review; no sufficiently strong intent signal.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional
322345,Sat Oct 07 16:51:01 +0000 2017,apple_021224,@AppleSupport No iPhone 7 but how? https://t.co/UlYSRGcfNU,app_problems,,device_hardware,Bulk provisional label based on message content: device_hardware.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional
1709313,Tue Nov 07 00:20:47 +0000 2017,apple_000965,"Ima be honest @AppleSupport this update was worse than iOS8, my apps are crashing shit is going black it’s starting to look android-esk",ios_software_update,,app_problems,Bulk provisional label based on message content: app_problems.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional
2958698,Wed Nov 29 20:13:05 +0000 2017,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,app_problems,,app_problems,Bulk provisional label based on message content: app_problems.,provisional_bulk,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional
188375,Wed Oct 04 16:35:20 +0000 2017,apple_039400,@AppleSupport I have not touched my phone to summon Siri nor anybody spoke hey Siri around.,screen_display,,app_problems,Bulk provisional label based on message content: app_problems.,provisional_bulk,wifi_connectivity,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional
1682439,Tue Nov 07 18:38:33 +0000 2017,apple_024924,@AppleSupport Switching off*,app_problems,,other_unclear,Needs manual review; no sufficiently strong intent signal.,provisional_bulk,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional
2837178,Mon Nov 27 14:17:54 +0000 2017,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",other_unclear,,app_problems,Bulk provisional label based on message content: app_problems.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional
112811,Thu Nov 23 17:31:29 +0000 2017,apple_056149,"@AppleSupport 5 Times a day my phone says “no sim” &amp; I have to restart it to make it go away, do I need a new phone https://t.co/f48jvdz33b",device_hardware,,calls_cellular,Bulk provisional label based on message content: calls_cellular.,provisional_bulk,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional
1752110,Tue Oct 17 20:55:15 +0000 2017,apple_074143,"@AppleSupport iPhone 7, still not downloading, no issues with my account etc",app_store_downloads,,apple_id_icloud,Bulk provisional label based on message content: apple_id_icloud.,provisional_bulk,apple_music_itunes,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional
2965414,Wed Nov 29 22:11:40 +0000 2017,apple_060715,"Dear @115858, 

I am still patiently waiting for the day I can delete these apps I've #never used. 

Sincerely, me. https://t.co/9P2vBfYiHU",app_problems,,app_problems,Bulk provisional label based on message content: app_problems.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional
293819,Sat Oct 07 04:52:35 +0000 2017,apple_047435,"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔",app_store_downloads,,other_unclear,Needs manual review; no sufficiently strong intent signal.,provisional_bulk,app_problems,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional
