review_number,tweet_id,created_at,conversation_id,text,candidate_group,human_intent,human_notes,label_status
1,2121061,Wed Nov 08 08:14:08 +0000 2017,apple_035308,Literally every single photo I have is gone. Thanks @AppleSupport,app_problems,app_problems,,human_reviewed
2,2436882,Sun Oct 29 15:09:45 +0000 2017,apple_068946,Hey @115858 I just had a mini heart attack cause iCloud got turned off when I restarted my phone and all my pictures were suddenly gone (1/?),apple_id_icloud,apple_id_icloud,,human_reviewed
3,1710649,Sat Sep 23 12:46:28 +0000 2017,apple_053225,"Hey, @AppleSupport, my iPhone 7 keeps respringing when trying to setup for the first time. Trying over both WiFi and iTunes, same problem.",wifi_connectivity,app_problems,,human_reviewed
4,942267,Sat Oct 21 07:08:38 +0000 2017,apple_019847,"@AppleSupport Worst update of iOS 11, my phones battery is draining like water. It lasts for only 3-4hrs. Not expected from @AppleSupport 😢😢",battery_charging,battery_charging,,human_reviewed
5,687925,Thu Nov 23 14:40:44 +0000 2017,apple_075525,@AppleSupport Thanks for that! Its not helpful though. Did you read my tweet? Its a daily issue now. I know how to connect a Smart Keyboard. It just keeps disconnecting and displaying that error!!,wifi_connectivity,wifi_connectivity,,human_reviewed
6,1588812,Sat Nov 04 19:14:42 +0000 2017,apple_072082,dear @115858 my phone keeps correcting i to i️ and my music stops playing every 5 seconds fix this shit,apple_music_itunes,apple_music_itunes,,human_reviewed
7,2923614,Wed Nov 29 02:23:07 +0000 2017,apple_072898,@115858 it sure would be nice if one of your reps could help me. Ive been on hold waiting for over THREE hours. With no answer. https://t.co/7KpBUc8A8N,app_store_downloads,other_unclear,,human_reviewed
8,2016338,Sun Nov 05 18:03:31 +0000 2017,apple_038864,"@115858 Can y’all please fix this question mark ina box, every time you type the letter “eye”, problem 😩",screen_display,screen_display,,human_reviewed
9,247584,Thu Oct 05 15:00:10 +0000 2017,apple_021398,Just Got this fantastic Bug #Apple #iOS11.0.2 #bug @115858 https://t.co/tKO2iJKhxo,ios_software_update,ios_software_update,,human_reviewed
10,1223968,Fri Oct 06 00:03:22 +0000 2017,apple_033157,"@115858 before I updated my phone to i011 it held a charge almost all day, now it can’t go 1 hour worth of using.... can you explain this?😡😤",battery_charging,battery_charging,,human_reviewed
11,2001733,Fri Nov 03 16:06:58 +0000 2017,apple_028015,Anyone else’s iPhone been doing this weird thing?! @AppleSupport @115858 https://t.co/EpJGELn42E,app_problems,app_problems,,human_reviewed
12,1641289,Sun Nov 05 21:51:40 +0000 2017,apple_042630,i️ also hate my phone for not working &amp; changing i’s to boxes @115858 needs to get it together,other_unclear,screen_display,,human_reviewed
13,2558620,Thu Nov 16 16:12:14 +0000 2017,apple_017059,So now I am having an issue with my I-Phone. Its randomly calling people as it sits on my counter and there is no record in my call log. Another person just told me his wife's is doing the same thing. What gives @115858,calls_cellular,calls_cellular,,human_reviewed
14,1738873,Tue Nov 07 13:25:50 +0000 2017,apple_056746,THE WAY MY PHONE BEEN FREEZING UP SINCE I UPDATED IT 🙄 @AppleSupport,ios_software_update,ios_software_update,,human_reviewed
15,807382,Thu Oct 12 17:35:25 +0000 2017,apple_039662,37% sure my headphones are broke 🙄@115858 send me some new ones thx,audio_speaker,audio_speaker,,human_reviewed
16,2278858,Sat Nov 11 06:12:55 +0000 2017,apple_061815,For instance @115858 when are you gunna fix my fuckin I button I️ refuse to change it in my shortcuts it shouldn’t come down to this,device_hardware,screen_display,,human_reviewed
