tweet_id,conversation_id,customer_message,predicted_intent,intent_confidence,escalation_decision,escalation_reason_code,escalation_reason,escalation_risk_level,evidence_used,evidence_supported,safe_to_answer,response_type
2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,calls_cellular,1.0,ESCALATE,insufficient_evidence,"Conservative safety fallback: insufficient evidence (safety_check_error: ufunc 'add' did not contain a loop with signature matching types (dtype('int64'), dtype('<U1')) -> None)",medium,False,False,True,clarification_question
2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,0.1423,ESCALATE,insufficient_evidence,"Conservative safety fallback: insufficient evidence (safety_check_error: ufunc 'add' did not contain a loop with signature matching types (dtype('int64'), dtype('<U1')) -> None)",medium,False,False,True,resolved_acknowledgement
2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,0.1995,ESCALATE,insufficient_evidence,"Conservative safety fallback: insufficient evidence (safety_check_error: ufunc 'add' did not contain a loop with signature matching types (dtype('int64'), dtype('<U1')) -> None)",medium,False,False,True,clarification_question
2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,0.5553,ESCALATE,insufficient_evidence,"Conservative safety fallback: insufficient evidence (safety_check_error: ufunc 'add' did not contain a loop with signature matching types (dtype('int64'), dtype('<U1')) -> None)",medium,False,False,True,clarification_question
1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_software_update,1.0,ESCALATE,insufficient_evidence,"Conservative safety fallback: insufficient evidence (safety_check_error: ufunc 'add' did not contain a loop with signature matching types (dtype('int64'), dtype('<U1')) -> None)",medium,False,False,True,clarification_question
1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_software_update,1.0,ESCALATE,insufficient_evidence,"Conservative safety fallback: insufficient evidence (safety_check_error: ufunc 'add' did not contain a loop with signature matching types (dtype('int64'), dtype('<U1')) -> None)",medium,False,False,True,clarification_question
152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,wifi_connectivity,1.0,ESCALATE,insufficient_evidence,"Conservative safety fallback: insufficient evidence (safety_check_error: ufunc 'add' did not contain a loop with signature matching types (dtype('int64'), dtype('<U1')) -> None)",medium,False,False,True,clarification_question
1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,0.1415,ESCALATE,insufficient_evidence,"Conservative safety fallback: insufficient evidence (safety_check_error: ufunc 'add' did not contain a loop with signature matching types (dtype('int64'), dtype('<U1')) -> None)",medium,False,False,True,clarification_question
1643279,apple_013282,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,1.0,ESCALATE,insufficient_evidence,"Conservative safety fallback: insufficient evidence (safety_check_error: ufunc 'add' did not contain a loop with signature matching types (dtype('int64'), dtype('<U1')) -> None)",medium,False,False,True,clarification_question
2519462,apple_067506,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,calls_cellular,0.257,ESCALATE,insufficient_evidence,"Conservative safety fallback: insufficient evidence (safety_check_error: ufunc 'add' did not contain a loop with signature matching types (dtype('int64'), dtype('<U1')) -> None)",medium,False,False,True,clarification_question
